roundNumber,opponentMove,predictedMove,botMove,result,modelUsed,predictionCorrect,decisionLatencyMs,timestamp
430,rock,rock,paper,lose,order-1,True,0.0036,1787898738340
431,rock,rock,paper,lose,order-1,True,0.009,1787898738440
432,rock,rock,paper,lose,order-1,True,0.0049,1787898738541
433,rock,rock,paper,lose,order-1,True,0.0049,1787898738641
434,rock,rock,paper,lose,order-1,True,0.0044,1787898738741
435,rock,rock,paper,lose,order-1,True,0.005,1787898738841
436,rock,rock,paper,lose,order-1,True,0.0048,1787898738941
437,rock,rock,paper,lose,order-1,True,0.0046,1787898739041
438,rock,rock,paper,lose,order-1,True,0.0051,1787898739141
439,rock,rock,paper,lose,order-1,True,0.0047,1787898739241
440,rock,rock,paper,lose,order-1,True,0.0044,1787898739341
441,rock,rock,scissors,win,random,True,0.007,1787898739441
442,rock,rock,paper,lose,order-1,True,0.005,1787898739541
443,rock,rock,paper,lose,order-1,True,0.0034,1787898739641
444,rock,rock,paper,lose,order-1,True,0.0028,1787898739741
