roundNumber,opponentMove,predictedMove,botMove,result,modelUsed,predictionCorrect,decisionLatencyMs,timestamp
351,paper,paper,scissors,lose,order-2,True,0.0048,1787898730504
352,scissors,scissors,rock,lose,order-2,True,0.0054,1787898730604
353,rock,rock,paper,lose,order-2,True,0.0046,1787898730704
354,paper,paper,scissors,lose,order-2,True,0.0054,1787898730804
355,scissors,scissors,rock,lose,order-2,True,0.0029,1787898730904
356,rock,rock,paper,lose,order-2,True,0.003,1787898731004
357,paper,paper,scissors,lose,order-2,True,0.0045,1787898731104
358,scissors,scissors,rock,lose,order-2,True,0.0031,1787898731204
359,rock,rock,paper,lose,order-2,True,0.0032,1787898731304
360,paper,paper,scissors,lose,order-2,True,0.0027,1787898731404
361,scissors,scissors,rock,lose,order-2,True,0.003,1787898731504
362,rock,rock,paper,lose,order-2,True,0.0035,1787898731604
363,paper,paper,scissors,lose,order-2,True,0.0028,1787898731704
364,scissors,scissors,rock,lose,order-2,True,0.0033,1787898731804
365,rock,rock,paper,lose,order-2,True,0.0029,1787898731904
366,paper,paper,scissors,lose,order-2,True,0.0027,1787898732004
367,scissors,scissors,rock,lose,order-2,True,0.0029,1787898732104
368,rock,rock,paper,lose,order-2,True,0.003,1787898732204
369,paper,paper,scissors,lose,order-2,True,0.0058,1787898732304
370,scissors,scissors,rock,lose,order-2,True,0.0044,1787898732404
371,rock,rock,paper,lose,order-2,True,0.0047,1787898732504
372,paper,paper,scissors,lose,order-2,True,0.0045,1787898732604
373,scissors,scissors,rock,lose,order-2,True,0.003,1787898732704
374,rock,rock,paper,lose,order-2,True,0.0029,1787898732804
375,paper,paper,scissors,lose,random,True,0.0047,1787898732904
376,scissors,scissors,rock,lose,order-2,True,0.0057,1787898733004
377,rock,rock,paper,lose,order-2,True,0.004,1787898733104
378,paper,paper,rock,win,random,True,0.0034,1787898733204
379,paper,scissors,rock,win,order-2,False,0.0031,1787898733304
380,paper,scissors,rock,win,order-1,False,0.0049,1787898733404
381,paper,paper,scissors,lose,order-2,True,0.0047,1787898733504
382,scissors,paper,scissors,tie,order-2,False,0.0043,1787898733604
383,rock,rock,paper,lose,order-2,True,0.0058,1787898733704
384,paper,paper,scissors,lose,order-2,True,0.0048,1787898733804
385,scissors,scissors,rock,lose,order-2,True,0.0074,1787898733905
386,rock,rock,paper,lose,order-2,True,0.0068,1787898734005
387,paper,paper,scissors,lose,order-2,True,0.0055,1787898734105
388,scissors,scissors,rock,lose,random,True,0.0069,1787898734205
389,rock,rock,paper,lose,order-2,True,0.0053,1787898734305
390,paper,paper,scissors,lose,order-2,True,0.0049,1787898734405
391,scissors,scissors,rock,lose,order-2,True,0.0031,1787898734505
392,rock,rock,paper,lose,order-2,True,0.0029,1787898734605
393,paper,paper,scissors,lose,order-2,True,0.0054,1787898734705
394,scissors,scissors,rock,lose,order-2,True,0.0056,1787898734805
395,rock,rock,paper,lose,order-2,True,0.0059,1787898734905
396,paper,paper,scissors,lose,order-2,True,0.006,1787898735005
397,scissors,scissors,rock,lose,order-2,True,0.0047,1787898735105
398,rock,rock,paper,lose,order-2,True,0.0039,1787898735205
399,paper,paper,scissors,lose,order-2,True,0.0034,1787898735305
400,scissors,scissors,rock,lose,order-2,True,0.0041,1787898735405
401,rock,rock,paper,lose,order-2,True,0.0039,1787898735505
402,paper,paper,scissors,lose,order-2,True,0.005,1787898735605
403,scissors,scissors,rock,lose,order-2,True,0.0058,1787898735705
404,rock,rock,paper,lose,random,True,0.0056,1787898735805
405,paper,paper,scissors,lose,order-2,True,0.003,1787898735905
406,scissors,scissors,rock,lose,order-2,True,0.0028,1787898736005
407,rock,rock,paper,lose,order-2,True,0.0029,1787898736105
408,paper,paper,scissors,lose,order-2,True,0.003,1787898736205
409,scissors,scissors,rock,lose,order-2,True,0.003,1787898736305
410,rock,rock,paper,lose,order-2,True,0.0048,1787898736405
411,paper,paper,scissors,lose,order-2,True,0.0027,1787898736505
412,scissors,scissors,rock,lose,order-2,True,0.0071,1787898736605
413,rock,rock,paper,lose,order-2,True,0.0054,1787898736705
414,paper,paper,scissors,lose,order-2,True,0.0082,1787898736805
415,scissors,scissors,rock,lose,order-2,True,0.005,1787898736905
416,rock,rock,paper,lose,order-2,True,0.01,1787898737005
417,paper,paper,scissors,lose,order-2,True,0.0175,1787898737105
418,scissors,scissors,rock,lose,order-2,True,0.0064,1787898737205
419,rock,rock,paper,lose,order-2,True,0.0058,1787898737305
420,paper,paper,scissors,lose,order-2,True,0.016,1787898737405
421,scissors,scissors,rock,lose,order-2,True,0.0085,1787898737505
422,rock,rock,paper,lose,order-2,True,0.0078,1787898737605
423,paper,paper,scissors,lose,order-2,True,0.0057,1787898737705
424,scissors,scissors,rock,lose,order-2,True,0.005,1787898737805
425,rock,rock,paper,lose,order-2,True,0.0047,1787898737905
426,paper,paper,scissors,lose,order-2,True,0.0053,1787898738005
427,scissors,scissors,rock,lose,order-2,True,0.0048,1787898738105
428,rock,rock,paper,lose,order-2,True,0.0045,1787898738206
429,paper,paper,scissors,lose,order-2,True,0.0045,1787898738306
430,scissors,scissors,rock,lose,order-2,True,0.0049,1787898738406
431,rock,rock,paper,lose,order-2,True,0.0058,1787898738506
